Year,Data Type,Col_0,Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15
1995,First Unit of Quantity,0307590000,China,1995,kilograms,"84,759","24,273",298,"56,634","49,436","98,928","139,251","33,911","33,984",0,"49,523","6,532"
1995,First Unit of Quantity,0307600000,China,1995,kilograms,0,0,0,0,0,0,"3,756","16,919","3,995",0,74,"8,828"
1995,First Unit of Quantity,0307910070,China,1995,kilograms,0,0,0,0,0,0,0,0,0,198,0,0
1995,First Unit of Quantity,0307990020,China,1995,kilograms,181,870,91,91,23,0,668,620,500,224,454,"1,367"
1995,First Unit of Quantity,0307990055,China,1995,kilograms,"15,490","3,402","15,507","1,769","16,388",430,"10,058","1,900","12,500",0,0,"14,750"
1995,First Unit of Quantity,0307990060,China,1995,kilograms,"18,741","37,932","23,654","34,655","9,554","29,733","9,071","23,813","40,508","14,229","24,636","33,163"
1995,First Unit of Quantity,0407000040,China,1995,dozens,"130,512","55,587","181,013","132,851","324,003","300,023","161,127","291,835","41,249","34,262","42,385","24,684"
1995,First Unit of Quantity,0408190000,China,1995,kilograms,0,0,0,0,0,"4,475","10,977","7,830","1,336",0,0,0
1995,First Unit of Quantity,0408990000,China,1995,kilograms,0,"6,384",0,0,0,"6,686","3,500",0,0,0,0,0
1995,First Unit of Quantity,0409000020,China,1995,kilograms,"2,069",898,"2,130",803,489,"1,061","1,497","2,041",0,374,490,"3,987"
1995,First Unit of Quantity,0409000042,China,1995,kilograms,"726,740","349,740","272,020",0,0,0,0,0,0,0,"557,960","287,100"
1995,First Unit of Quantity,0409000044,China,1995,kilograms,"959,900","822,730","624,950",0,0,0,0,0,0,"149,350","907,016","629,590"
1995,First Unit of Quantity,0409000062,China,1995,kilograms,"1,409,980","1,197,740","238,958",0,0,0,0,0,0,"33,640","1,395,770","1,536,536"
1995,First Unit of Quantity,0409000064,China,1995,kilograms,"90,233","34,876","33,640","5,395","2,101",0,424,988,0,"1,881","83,230","113,711"
1995,First Unit of Quantity,0410000000,China,1995,kilograms,"9,000","8,330",635,"2,705","4,000","2,000","21,660",0,"19,426","18,200","4,000","1,450"
1995,First Unit of Quantity,0501000000,China,1995,kilograms,"1,905","2,021",549,"1,934",866,"2,420","4,663",361,"2,212","2,062",589,"2,170"
1995,First Unit of Quantity,0502100000,China,1995,kilograms,"72,450","42,800","101,143","40,900","103,800","71,250","111,975","47,230","138,265","91,575","40,322","52,220"
1995,First Unit of Quantity,0502900000,China,1995,kilograms,949,"1,948",152,292,"1,138","2,840",855,"2,096",16,114,18,212
1995,First Unit of Quantity,0503000000,China,1995,kilograms,"43,740","26,817","80,626","27,450","13,595","28,675","16,730","40,090","49,825","56,912","25,648","16,280"
1995,First Unit of Quantity,0504000020,China,1995,kilograms,"290,154","267,588","273,283","127,358","201,070","229,615","182,650","393,456","117,720","222,179","392,782","204,238"
1995,First Unit of Quantity,0504000040,China,1995,kilograms,"3,284",0,0,"11,625","17,500","27,459",451,"1,700",0,"60,151",0,"15,875"
1995,First Unit of Quantity,0504000060,China,1995,kilograms,0,0,0,0,0,0,0,0,0,0,"15,750",0
1995,First Unit of Quantity,0505100050,China,1995,kilograms,"199,348","145,774","120,941","206,215","149,549","185,499","174,465","373,919","157,867","121,686","118,898","165,422"
1995,First Unit of Quantity,0505100055,China,1995,kilograms,"56,479","31,521","59,338","1,646","32,504","7,200","43,356","94,337","16,000","37,093","79,742","48,966"
1995,First Unit of Quantity,0505100060,China,1995,kilograms,"754,301","646,807","827,393","838,076","777,238","615,166","979,456","638,616","338,464","578,254","533,641","404,720"
1995,First Unit of Quantity,0505100065,China,1995,kilograms,"150,257","80,331","176,893","149,676","202,265","169,336","127,362","196,283","108,878","33,990","118,797","26,530"
1995,First Unit of Quantity,0505906000,China,1995,kilograms,683,946,15,0,376,244,0,0,"1,163","1,149",233,"1,832"
1995,First Unit of Quantity,0506900020,China,1995,kilograms,0,0,0,0,0,0,0,0,0,0,"18,500",0
1995,First Unit of Quantity,0506900040,China,1995,kilograms,0,0,0,0,0,145,0,0,"1,008",0,"2,005","1,000"
1995,First Unit of Quantity,0507900000,China,1995,kilograms,0,0,500,0,0,0,0,25,0,0,0,0
1995,First Unit of Quantity,0508000000,China,1995,kilograms,0,0,25,0,0,0,0,0,"1,193",556,659,600
1995,First Unit of Quantity,0509000000,China,1995,kilograms,0,0,0,0,0,0,0,0,0,"2,401",0,0
1995,First Unit of Quantity,0510004040,China,1995,kilograms,"12,100",0,0,0,0,0,"8,000",0,0,0,0,0
1995,First Unit of Quantity,0511910000,China,1995,kilograms,"8,009",0,0,0,769,61,"10,000",368,"2,100","11,363",820,"6,404"
1995,First Unit of Quantity,0511992000,China,1995,kilograms,"1,686","2,370","8,353","5,484","18,436",0,"26,498","41,760","72,231","45,699","16,119","101,446"
1995,First Unit of Quantity,0511993000,China,1995,kilograms,"16,198",0,"68,250","93,807","153,592","17,000","35,024","51,345","72,724",0,"15,600","17,318"
1995,First Unit of Quantity,0511994050,China,1995,kilograms,"2,790",0,"69,523",643,300,"34,714","2,241","2,538",255,"1,982","4,891","1,000"
1995,First Unit of Quantity,0601106000,China,1995,number,"10,000",0,0,0,0,0,0,0,0,0,6,"53,518"
1995,First Unit of Quantity,0601108500,China,1995,number,0,0,0,0,0,0,0,0,0,0,"9,300",0
1995,First Unit of Quantity,0601109080,China,1995,number,0,0,0,0,0,0,0,0,0,0,235,0
1995,First Unit of Quantity,0602100000,China,1995,number,0,546,0,0,0,5,0,0,0,15,11,0
1995,First Unit of Quantity,0602910000,China,1995,kilograms,0,0,0,0,0,0,0,"3,674",0,0,0,0
1995,First Unit of Quantity,0602992000,China,1995,kilograms,"1,150","1,549",0,71,245,0,0,0,0,0,0,0
1995,First Unit of Quantity,0602994000,China,1995,kilograms,0,0,263,409,0,0,0,0,41,0,252,302
1995,First Unit of Quantity,0602996010,China,1995,number,0,"2,410","7,077","2,190",0,0,0,0,"1,350",0,0,0
1995,First Unit of Quantity,0602996020,China,1995,number,0,0,0,"2,435",0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0602996090,China,1995,number,0,0,0,331,"6,363",0,0,"2,300",0,0,0,576
1995,First Unit of Quantity,0602999010,China,1995,number,0,0,"6,417","2,174",0,"3,150","8,505",11,"10,558",518,"1,645",0
1995,First Unit of Quantity,0602999090,China,1995,number,"46,550","65,675",940,"144,035","70,000",0,0,0,0,"3,702",0,456
1995,First Unit of Quantity,0603108000,China,1995,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0603900000,China,1995,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0604100000,China,1995,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0604910080,China,1995,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0604993000,China,1995,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0604996000,China,1995,no units collected,0,0,0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0701100020,China,1995,kilograms,0,0,0,0,0,0,0,0,0,0,0,"25,500"
1995,First Unit of Quantity,0703104000,China,1995,kilograms,0,0,0,0,0,0,0,0,"2,658","5,740","6,250","1,940"
1995,First Unit of Quantity,0703200000,China,1995,kilograms,"4,959","35,461",0,0,0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0703200010,China,1995,kilograms,0,0,0,0,0,0,"50,000",0,0,"165,624","18,590",0
1995,First Unit of Quantity,0703200020,China,1995,kilograms,0,0,0,0,0,0,0,"38,000","57,000",0,"52,995","45,800"
1995,First Unit of Quantity,0703200090,China,1995,kilograms,0,0,0,0,0,0,0,0,"30,005","14,000",0,0
1995,First Unit of Quantity,0704200000,China,1995,kilograms,0,0,0,0,"1,106",0,0,0,0,0,0,0
1995,First Unit of Quantity,0704902000,China,1995,kilograms,0,0,0,0,0,0,450,0,0,0,0,0
1995,First Unit of Quantity,0706903000,China,1995,kilograms,0,"21,000",0,"7,660",0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0706904000,China,1995,kilograms,"172,608","49,614","49,729","54,631","23,637","26,298","53,135","64,519","86,061","51,370","64,415","116,065"
1995,First Unit of Quantity,0708104000,China,1995,kilograms,0,0,0,0,"18,371",0,0,0,0,0,0,0
1995,First Unit of Quantity,0708209000,China,1995,kilograms,"16,560",0,0,"35,700",0,0,"60,000",0,0,0,0,0
1995,First Unit of Quantity,0708904000,China,1995,kilograms,0,0,0,0,0,0,0,0,0,0,0,"3,620"
1995,First Unit of Quantity,0709209000,China,1995,kilograms,0,0,0,0,0,0,0,0,"17,706",0,0,0
1995,First Unit of Quantity,0709510000,China,1995,kilograms,"19,850","16,580","19,050","37,050","26,070","30,308","29,374","35,255","27,579","29,870","43,401","45,030"
1995,First Unit of Quantity,0709520000,China,1995,kilograms,20,52,0,0,0,0,0,0,0,0,0,44
1995,First Unit of Quantity,0709602000,China,1995,kilograms,0,"22,140","9,108",0,0,0,"1,064",0,0,0,0,0
1995,First Unit of Quantity,0709909000,China,1995,kilograms,"45,675","6,000","31,605","16,527","57,940","27,218","128,559","34,903","30,550","32,316","57,085","51,960"
1995,First Unit of Quantity,0710212000,China,1995,kilograms,0,0,0,0,0,0,"612,741","300,418","194,299",0,0,0
1995,First Unit of Quantity,0710214000,China,1995,kilograms,"372,432","109,982","108,245","18,000","363,591","860,824",0,0,0,"543,227","193,717","162,177"
1995,First Unit of Quantity,0710221500,China,1995,kilograms,0,0,0,0,0,450,0,0,0,0,0,0
1995,First Unit of Quantity,0710223700,China,1995,kilograms,0,"30,273",0,0,0,"21,500","24,970","69,069","19,660","5,117","58,352","19,068"
1995,First Unit of Quantity,0710291500,China,1995,kilograms,0,0,0,0,0,0,0,0,"12,000","12,013","48,595","59,238"
1995,First Unit of Quantity,0710294000,China,1995,kilograms,0,0,0,0,0,0,"18,014",0,0,0,0,0
1995,First Unit of Quantity,0710400000,China,1995,kilograms,"4,560",0,0,0,0,0,0,0,0,0,"13,300",0
1995,First Unit of Quantity,0710801000,China,1995,kilograms,"1,299,574","1,469,025","957,039","805,275","709,876","531,384","376,529","499,848","377,641","452,095","223,015","240,201"
1995,First Unit of Quantity,0710802000,China,1995,kilograms,"76,290","125,004","74,195","112,576","107,314","11,722","1,620","61,143","4,536","23,072","18,144","15,712"
1995,First Unit of Quantity,0710807060,China,1995,kilograms,0,0,0,0,"11,060",0,0,0,"18,438","4,391",0,0
1995,First Unit of Quantity,0710809710,China,1995,kilograms,0,0,0,0,"9,540","18,931","29,453",0,"34,037",0,0,0
1995,First Unit of Quantity,0710809722,China,1995,kilograms,0,0,0,0,0,0,"1,032",0,0,"1,021",0,0
1995,First Unit of Quantity,0710809750,China,1995,kilograms,"138,500","18,000",0,"2,990","7,533","4,487","1,000","10,156","38,790","23,137",0,"31,694"
1995,First Unit of Quantity,0710901000,China,1995,kilograms,"9,466",0,0,0,0,"2,668",0,"7,655",0,0,0,0
1995,First Unit of Quantity,0710909000,China,1995,kilograms,0,0,0,"9,681",0,0,"8,647",0,0,"3,874","24,840","4,995"
1995,First Unit of Quantity,0711202800,China,1995,kilograms,0,0,0,0,0,764,0,0,0,0,0,0
1995,First Unit of Quantity,0711902000,China,1995,kilograms,0,0,"17,115",0,897,0,0,0,0,0,0,0
1995,First Unit of Quantity,0711904000,China,1995,kilograms,0,0,"48,000","22,022","78,261",0,0,0,0,0,0,0
1995,First Unit of Quantity,0711906000,China,1995,kilograms,0,0,0,0,0,"3,380",0,0,0,0,0,0
1995,First Unit of Quantity,0712100000,China,1995,kilograms,0,816,0,"8,571","2,975","13,939",0,"11,015","3,378",0,"5,987","4,042"
1995,First Unit of Quantity,0712202000,China,1995,kilograms,0,0,"9,500","4,800",0,0,0,0,0,0,0,0
1995,First Unit of Quantity,0712204000,China,1995,kilograms,0,"28,332","25,959","17,010","31,808","18,885","40,466","25,968",748,0,0,"3,134"
